id,corpus,source,title,url,tier,retrieval,ratingStars,ratingCount,flourG,oatsG,fatG,sugarG,saltG,liquidG,bakingPowderG,bakingSodaG,nutsG,eggG,toppingG,fruitG,basisG,oatFractionPct,fatPct,sugarPct,sugarBrownPct,saltPct,liquidPct,bakingPowderPct,bakingSodaPct,nutsPct,dish,areaCm2,loadGPerCm2,fruitToToppingRatio,ovenC,bakeMinutes,restMinutes,prebakeFruit,butterState,sodaToAcidLiquid,acidLiquidG,inferredFields,excluded,exclusionReason,flags,notes
crisp-dorie,crisp,Dorie Greenspan,Mixed Berry Crisp,https://doriegreenspan.com/recipe/mixed-berry-crisp/,T1,direct,,,136,90,113.6,78.3,4.28,0,0,0,0,0,422.1,737.1,226,39.82,50.27,34.62,23.56,1.89,0,0,0,0,9-inch Pyrex pie plate,410,1.03,1.75,177,52.5,20,false,cold,,0,,false,,HIGHEST salt in the crisp corpus; the author says the oats are OPTIONAL,"Pursues texture HETEROGENEITY as a deliberate goal, against ATK who engineer the same stratification away as a defect. Directly undercuts defining a crisp vertex by oat fraction."
crisp-serious-eats-oatfree,crisp,Serious Eats,The Best Apple Crisp,https://www.seriouseats.com/the-best-apple-crisp-recipe,T3,mirror+search,,,100,0,145,165,3.8,0,0,0,100,0,513.8,0,100,0,145,165,0,3.8,0,0,0,100,,,,,,,,,cold,,0,kosher salt: Diamond Crystal ~2.8 g/tsp vs Morton ~4.8 g/tsp — a 1.7x spread. Midpoint used; the true value could be either end.,true,"NO OATS AT ALL — excluded from the oat-bearing medians, but recorded because it is the most important counterexample in the project.",oat fraction 0; won a blind three-way bake-off; every normalised figure sits outside the range of all 16 oat-bearing crisps,"Butter 145, sugar 165, nuts 100 per 100 flour. Together with three Chez Panisse formulas and ATK's own oat-free Fruit Crisp, this is one of five canonical 'crisps' with no oats. The defensible reading: a crisp is a rubbed dry topping over fruit, and oats are one of two structural fillers — the other being nuts."
cobbler-atk-peach,cobbler-a,America's Test Kitchen,Fresh Peach Cobbler,https://www.americastestkitchen.com/recipes/1468-fresh-peach-cobbler,T1,direct,,,142,0,71,37.5,1.43,81.7,3,1.15,0,0,337.7,1134,142,0,50,26.41,0,1,57.51,2.11,0.81,0,8-inch square glass,400,0.844,3.36,218,27,20,true,cold,0.01408,81.7,,false,,ATK ratings readable but not captured for this recipe; comment text is paywalled.,"ATK gives NO rationale for pre-baking the filling, only a visual cue. The biscuit-bottom reasoning belongs to King Arthur, not ATK — an attribution this project got wrong and has corrected."
cobbler-king-arthur-cherry,cobbler-a,King Arthur Baking,Buttermilk Biscuit Cherry Cobbler,https://www.kingarthurbaking.com/recipes/buttermilk-biscuit-cherry-cobbler-recipe,T1,direct,4.7,3,220,0,85,25,0,113,12.1,0,0,0,455.1,1092,220,0,38.64,11.36,0,0,51.36,5.5,0,0,9-inch square,529,0.86,2.4,190,32.5,,true,softened,,0,,false,,"leavening and salt are inside a proprietary blend and cannot be separated; ONLY source specifying softened butter; ONLY source giving an internal temperature (212 F) — and it is a filling-boiling cue, not a crumb cue; LEAVENING IMPUTED at 5.5 g per 100 g flour, the conventional self-rising level. The blend's actual composition is proprietary. Without this the model sees an unleavened cobbler and scores its interior at 0.09, which is an artefact.",THE STRONGEST CROSS-CHECK IN THE PROJECT. King Arthur states 9 mounds x 50 g = 450 g of dough; the independent ingredient sum gives 443 g — 1.6% agreement. This validates the topping-weight methodology across the whole corpus. It is also the source of the biscuit-bottom rationale for pre-baking.
cobbler-sallys-peach,cobbler-a,Sally's Baking Addiction,Fresh Peach Cobbler,https://sallysbakingaddiction.com/fresh-peach-cobbler/,T1,direct,4.8,146,250,0,113,100,2.85,120,6,1.15,0,0,593,1800,250,0,45.2,40,0,1.14,48,2.4,0.46,0,9x13-inch,759,0.781,3.04,177,45,5,true,cold,0.00958,120,,false,,,"The ONLY source treating a wet underside as DESIRABLE. Directly contradicts Carlsbad and King Arthur, who treat the identical condition as a defect, and Smitten Kitchen, who calls it inevitable. This is why the model weights that defect low and separates it from 'uncooked'. Also patted into flat patties, not dropped as mounds."
cobbler-carlsbad,cobbler-a,Carlsbad Cravings,Mixed Berry Cobbler,https://carlsbadcravings.com/mixed-berry-cobbler/,T1,direct,5,1,250,0,170.4,150,5.7,120,8,0,0,0,704.1,907.2,250,0,68.16,60,0,2.28,48,3.2,0,0,9x13-inch,759,0.928,1.29,177,50,10,false,cold,0,120,,false,,HIGHEST butter of any butter-containing sweet cobbler topping; Page renders five solid stars with NO count. n=1. Never record as 5 stars / 4 comments.,"Lists 'dense and cakier' as a FAILURE while Dorie names cakey as the GOAL. The two sit at opposite ends of the fat axis (68.2 vs 0.0 butter), which is why cakey must be conditioned on fat rather than scored globally. Also the clearest steam-venting statement in the corpus — though the mechanism it asserts is not supported by any food-science source."
cobbler-dorie,cobbler-a,Dorie Greenspan,Drop-Biscuit Peach-Blueberry Cobbler,https://doriegreenspan.substack.com/p/drop-biscuit-peach-blueberry-cobbler-22-08-05,T1,direct,,,204,0,0,37.5,2.85,358,8,1.15,0,0,611.5,1510.8,204,0,0,18.38,0,1.4,175.49,3.92,0.56,0,9-inch deep-dish pie pan,410,1.491,2.47,177,50,20,false,none,0.00958,120,,false,,NO BUTTER AT ALL; highest hydration in the cobbler corpus; Substack — no rating system.,"Names cakey as the deliberate target, and explains why: no butter means no flakiness. Her soda-to-buttermilk of 0.0100 is computed on buttermilk alone; against TOTAL liquid she is at 0.00335, the lowest alkalinity per unit dough in the corpus, because 238 g of heavy cream is essentially non-acidic and does not participate in neutralisation. This is the clearest case where the two denominators disagree."
cobbler-foodtalk,cobbler-a,Foodtalk Daily / Rockin' Recipes,Easy Southern Peach Cobbler With Biscuit Topping,https://www.foodtalkdaily.com/recipes/cobblers-pies/fruit-cobler/easy-southern-peach-cobbler-with-biscuit-topping-44768812,T1,direct,,,187.5,0,113.6,103.3,2.85,80,6,0,0,0,493.2,907,187.5,0,60.59,55.07,28.4,1.52,42.67,3.2,0,0,2-qt,452,1.091,1.84,204,37.5,12.5,true,cold,,0,,true,"PROBABLY AI-GENERATED OR CONTENT FARM. 2025 date, generic byline, SEO-shaped title, interchangeable frozen/fresh/canned ingredient line, and a formula that would barely cohere — 113.6 g butter against only 80 g milk on 187.5 g flour.",entered the corpus under a FALSE 'Southern Living' association,Reached while searching for Southern Living. It is a different publisher entirely. Recorded so the log does not inherit the false attribution.
crumble-delia-ccc,crumble,Delia Smith,Complete Cookery Course basic crumble,https://hopeeternalcookbook.wordpress.com/2010/02/01/basic-recipe-sweet-crumble-mixtures/,T4,blog-transcription,,,225,0,75,150,0,0,4,0,0,0,454,0,225,0,33.33,66.67,66.67,0,0,1.78,0,0,,,,,,,,false,cold,,0,,false,,CONTAINS BAKING POWDER — compared directly against unleavened toppings; lowest butter figure in the whole crumble survey (33.3),Single-source blog transcription of a book. The same page carried five further crumble formulas that were collected and silently dropped from the survey — a curation decision that moved the numbers.
crumble-nigel-slater,crumble,Nigel Slater,"Real Fast Puddings crumble, as tested by Felicity Cloake",https://gulfnews.com/going-out/how-to-make-the-perfect-crumble-1.718479,T4,quoted-in-article,,,175,0,175,100,0,0,0,0,0,0,450,0,175,0,100,57.14,0,0,0,0,0,0,,,,,200,30,,true,unstated,,0,,false,,highest butter in the British core set (100 per 100 flour),"Food-processor method, butter temperature never stated. Quoted verbatim inside Cloake's article, which is the only source in the crumble survey captured as complete page text."
crumble-nigella-hte,crumble,Nigella Lawson,"How to Eat crumble, as tested by Felicity Cloake",https://gulfnews.com/going-out/how-to-make-the-perfect-crumble-1.718479,T4,quoted-in-article,,,120,0,90,75,0,0,0,0,0,0,285,0,120,0,75,62.5,0,0,0,0,0,0,,,,,,,,,cold,,0,,false,,,Cloake endorses Nigella's freezer trick — chilling the rubbed mixture produced a topping 'studded with a few more lumps and bumps'.
crumble-nigella-jumbleberry,crumble,Nigella Lawson,Jumbleberry Crumble,https://www.nigella.com/recipes/jumbleberry-crumble,T1,direct,,,100,0,50,37.5,0,0,2,0,0,0,189.5,100,100,0,50,37.5,37.5,0,0,2,0,0,300 ml ramekin,56.7,3.342,0.53,220,20,,false,cold,,0,"demerara: A raw cane sugar, less dense than granulated; treated as granulated here, which slightly overstates its weight.",true,"The recipe does not add up: as written the topping makes 187.5 g but the method directs 75 g across each of 4 ramekins = 300 g, a 60% shortfall. Every derived figure inherits that ambiguity, and the ramekin area is the weakest geometric inference in the survey.",CONTAINS BAKING POWDER; individual ramekin — a different form factor from a dish,
crumble-nigella-apple-walnut,crumble,Nigella Lawson,Apple and Walnut Crumble,https://www.nigella.com/recipes/apple-and-walnut-crumble,T1,direct,,,100,0,50,58,0,0,0,0,60,0,268,525,100,0,50,58,58,0,0,0,0,60,just under 1 litre oval pie dish,,,1.96,190,25,,true,cold,,0,,false,,sugar recorded as 45 g in the ratio pass and 58 g in the scale pass — reconciled here to 58 g including the heaped tablespoon,"Two Nigella recipes on the same official site share identical flour and butter (100/50) but differ in leavening — Jumbleberry has baking powder, this has none. Same author, incompatible base formula."
crumble-mary-norwak,crumble,Mary Norwak,"English Puddings crumble, as tested by Felicity Cloake",https://gulfnews.com/going-out/how-to-make-the-perfect-crumble-1.718479,T4,quoted-in-article,,,75,0,50,25,0,0,0,0,0,0,150,0,75,0,66.67,33.33,33.33,0,0,0,0,0,,,,,,,,,unstated,,0,,false,,"Cloake ALTERED this recipe before testing — she dropped Norwak's 6 tbsp water, 75 g sugar and ground ginger","The source of the survey's 'sandy is a defect' finding: Cloake rejected Norwak's fine soft brown sugar because 'the fine texture makes the finished crumble topping a little sandy'. BBC Good Food uses sandy as a POSITIVE target, so the term is contested."
crumble-bbc-food-parker,crumble,BBC Food (Merrilees Parker),Apple crumble,https://git.macropus.org/bbc-food/www.bbc.co.uk/food/recipes/applecrumble_2971.html,T2,dead-page-archive,,,300,0,200,175,0,0,0,0,0,0,675,450,300,0,66.67,58.33,58.33,0,0,0,0,0,24 cm round ovenproof dish,452.4,1.492,0.67,180,42.5,,false,room temperature,,0,,false,,"ONLY room-temperature-butter British recipe in the survey; heaviest topping load (1.49 g/cm2) AND lowest fruit:topping (0.67) AND coolest bake — three unusual traits in ONE recipe, counted as three independent signals across three tables; primary page almost certainly dead; BBC Food retired most recipes around 2016","675 g of topping for 450 g of fruit in a 4-portion dish is 169 g of raw topping per person. Reported straight for want of grounds to correct it, but flagged as suspicious."
crumble-goodtoknow,crumble,GoodtoKnow,Crumble topping,https://www.goodto.com/recipes/crumble-topping,T1,direct,3,6276,150,0,100,85,0,0,0,0,0,0,335,500,150,0,66.67,56.67,56.67,0,0,0,0,0,,,,1.49,200,37.5,,,cold,,0,,false,,"LARGEST SAMPLE IN THE ENTIRE SURVEY (6,276 ratings) and the LOWEST RATING IN IT (3.0); internally contradictory oven spec: states '200C (180C fan, Gas 4)' — Gas 4 is 180C, not 200C","High popularity, low specification: no dish size, no salt, a self-contradicting temperature. Its 3.0 rating across 6,276 votes is the single most-sampled quality signal available and it is mediocre."
crumble-ottolenghi-cheesecake,crumble,Ottolenghi,Sweet and salty cheesecake crumble element,https://ottolenghi.co.uk/pages/recipes/sweet-salty-cheesecake-cherries-crumble,T1,direct,,,75,0,50,50,1.43,0,0,0,0,0,176.4,0,75,0,66.67,66.67,66.67,1.9,0,0,0,0,,,,,,,,,cold,,0,,true,"NOT A FRUIT CRUMBLE — a cheesecake garnish, baked separately. It nevertheless supplied the single quantified salt figure used for the British core subset, giving a cheesecake topping disproportionate weight in the salt analysis.",,
crumble-atk-crumb-pie,crumble,America's Test Kitchen,Apple Crumb Pie,https://www.americastestkitchen.com/recipes/16654-apple-crumb-pie,T1,direct,3.5,13,189.3,0,227.2,200,2.85,0,0,0,0,0,619.4,0,189.3,0,120,105.63,0,1.51,0,0,0,0,9-inch pie,,,,,,,,cold,,0,kosher salt: Diamond Crystal ~2.8 g/tsp vs Morton ~4.8 g/tsp — a 1.7x spread. Midpoint used; the true value could be either end.,true,"US crumb pie, not a British crumble. At butter 135.5 it is the extreme outlier that forced two separate medians, and it is simultaneously the LOWEST-RATED source in the survey (3.5 stars, 13 reviews) with no published gram weights.","kosher salt converted at a table-salt factor — true figure likely 1.2-1.7, not 2.55, so the survey salt median is biased high; the fetch attributed its rationale to Martha Stewart on an ATK URL — unresolved, treat attribution as unreliable",
crumble-king-arthur-streusel,crumble,King Arthur Baking,Streusel Topping,https://www.kingarthurbaking.com/recipes/streusel-topping-recipe,T1,direct,4.5,6,60,23,57,53,0.71,0,0,0,0,0,193.7,0,83,27.71,68.67,63.86,63.86,0.86,0,0,0,0,,,,,,,,,room temperature,,0,,false,,"a companion King Arthur page returned CORRUPTED ARITHMETIC — '1,824g butter (4 sticks x 456g)', wrong twice over. Discarded; logged as direct evidence of the retrieval layer's error rate.",
crumble-great-british-chefs,crumble,Great British Chefs (Adam Gray),Apple and blackberry crumble,https://www.greatbritishchefs.com/recipes/apple-and-blackberry-crumble-recipe,T1,direct,,,250,0,170,110,0,0,0,0,220,0,750,700,250,0,68,44,44,0,0,0,0,88,,,,0.93,160,35,,true,unstated,,0,,true,"The topping is baked ALONE for 30-40 minutes as a granola, stirred every 10, then assembled for a 10-12 minute finish. Its 750 g is a batch yield, not an applied quantity, so its fruit:topping ratio is not comparable — yet it was included in that median anyway.",,
crumble-delicious-magazine,crumble,delicious. magazine,Master crumble,https://www.deliciousmagazine.co.uk/10-of-the-best-crumbles/,T3,search-summary,,,150,0,150,150,0,0,0,0,75,0,525,0,150,0,100,100,0,0,0,0,0,50,,,,,,15,,true,cold,,0,,true,"TIER-3: the page returned 403 and was never fetched. It entered the published ratio table on search-summary evidence alone, unflagged, where it anchored the TOP of both the butter and sugar ranges (100/100). It is also a separately pre-baked crumble, not a conventional one.",,
crisp-ci-skillet,crisp,Cook's Illustrated,Skillet Apple Crisp,https://www.americastestkitchen.com/recipes/6146-skillet-apple-crisp,T1,direct,,,106,67.5,113.6,149,2.85,0,0,0,75,0,514,1361,173.5,38.9,65.48,85.88,57.06,1.64,0,0,0,43.23,12-inch ovensafe skillet,729.7,0.704,2.65,232,17.5,15,true,melted,,0,nuts: Varies with nut and chop size; 100 g/cup is a rough middle.,false,,"pan is 12-inch, not the 10-inch assumed in an earlier pass — a 12-in skillet tapers, so the floor is ~507 cm2 and the load would rise from 0.704 to 1.014","Apples cooked on the STOVETOP first, 12-14 min. The only source in the corpus explaining why oats are there: Cook's Illustrated replaced some flour with 'chewy rolled oats' — for CHEW, not crunch."
crisp-cc-cranberry-apple,crisp,Cook's Country,Cranberry-Apple Crisp,https://www.americastestkitchen.com/recipes/3180-cranberry-apple-crisp,T1,direct,,,106,64,170.4,198,0,0,0,0,0,0,538.4,2722,170,37.65,100.24,116.47,58.24,0,0,0,0,0,13 by 9-inch,759,0.709,5.06,204,30,,true,cold,,0,,false,,"NO SALT AT ALL, paired with the HIGHEST butter in the crisp corpus (100.2) — an unusual combination for ATK that was reported numerically but never flagged as odd; the only scorch mitigation in 16 crisp sources: 'If topping is browning too quickly, loosely cover with foil'","Oats are stirred in AFTER the butter is cut in, then pinched into 'peanut-sized clumps' — one of only two sources where mixing order was captured."
crisp-atk-kids,crisp,America's Test Kitchen,Kids Apple Crisp,https://www.americastestkitchen.com/recipes/15381-kids-apple-crisp,T1,direct,,,94,43,71,50,0,0,0,0,0,0,258,907,137,31.39,51.82,36.5,36.5,0,0,0,0,0,8-inch square,400,0.645,3.52,191,40,30,false,melted,,0,,false,,"NO SALT in an ATK recipe — surprising; asked twice across two fetches and got the same answer, but verify before trusting; explicitly forbids quick oats while ATK's own Master recipe calls for them — the publisher contradicts itself",
crisp-once-upon-a-chef,crisp,Once Upon a Chef,The Best Apple Crisp with Oat-Pecan Topping,https://www.onceuponachef.com/recipes/apple-crisp.html,T1,direct,4.82,90,46.9,45,85.2,129.9,0.71,0,0,0,100,0,407.7,1134,91.9,48.98,92.73,141.36,86.94,0.78,0,0,0,108.84,shallow 2-quart,452,0.902,2.78,177,45,15,false,cold,,0,nuts: Varies with nut and chop size; 100 g/cup is a rough middle.,false,,"POSSIBLY NOT INDEPENDENT of Martha Stewart — both carry the distinctive line '1/2 cup plus 2 tablespoons granulated sugar, divided', the same structure, cold cubed butter and old-fashioned oats. They split the divided sugar differently, which is exactly why they land at the two EXTREMES of the sugar range (141.4 and 42.6). If they share a lineage they are one data point, not two.",
crisp-ina-garten,crisp,Ina Garten,Old-Fashioned Apple Crisp,https://barefootcontessa.com/recipes/old-fashioned-apple-crisp,T1,direct,,,187.5,90,226.8,309.8,1.9,0,0,0,0,0,815.9,2268,277.5,32.43,81.73,111.62,57.57,0.68,0,0,0,0,9 x 14 x 2-inch oval,638.5,1.278,2.78,177,60,,false,cold,,0,kosher salt: Diamond Crystal ~2.8 g/tsp vs Morton ~4.8 g/tsp — a 1.7x spread. Midpoint used; the true value could be either end.,false,,"OVAL dish — the only non-rectangular pan in the survey; treated as an ellipse (638.5 cm2). As a rectangle it is 813 cm2 and the load falls from 1.279 to 1.005; kosher salt converted at a table-salt factor; if Diamond Crystal her salt halves; SHE REUSES THIS TOPPING across at least three published recipes — 'Ina Garten' is one formula, not evidence of convergence",
crisp-betty-crocker,crisp,Betty Crocker,Apple Crisp with Oats,https://www.bettycrocker.com/recipes/apple-crisp-with-oats/434c1c4e-613b-4b0b-9453-3f3ed5c479a8,T1,direct,4.6,854,93.8,67.5,113.6,106.5,0,0,0,0,0,0,381.4,660,161.3,41.86,70.45,66.05,66.05,0,0,0,0,0,8-inch square (2-quart) glass,400,0.953,1.73,191,32.5,20,false,cold,,0,,false,,"LARGEST review count of any crisp (854) — and simultaneously the LOWEST fruit:topping in the corpus (1.73), i.e. the most topping-heavy formula surveyed; rating confirmed by computing from the page's own embedded value: AverageRating 0.912412 on a 0-1 scale x5 = 4.562 -> displays 4.6",The most publicly validated crisp formula in the survey sits at the OPPOSITE end from ATK's 5:1 filling-to-topping doctrine.
crisp-inspired-taste,crisp,Inspired Taste,Easy Apple Crisp,https://www.inspiredtaste.net/18686/apple-crisp-with-oats-recipe/,T1,direct,5,74,100,65,115,100,0.71,0,0,0,0,0,380.7,1247,165,39.39,69.7,60.61,0,0.43,0,0,0,0,9-inch square (or 2-quart),523,0.728,3.28,177,75,,false,melted,,0,,false,,"LONGEST bake in the crisp corpus by a wide margin — 60 to 90 minutes at only 350F, a 50% window, unusually loose for a 5.0-rated recipe","Argues for melted butter directly against Betty Crocker and Sally's, who argue for cold. The corpus does not agree with itself on this."
crisp-bon-appetit,crisp,Bon Appetit,Apple-Raspberry Crisp,https://www.foodlibrarian.com/2015/11/apple-raspberry-crisp-from-bon-appetit.html,T2,blog-mirror,,,62.5,45,85.2,106.5,1.43,0,0,0,0,0,300.6,1274,107.5,41.86,79.26,99.07,99.07,1.33,0,0,0,0,8 x 8-inch,400,0.752,4.24,177,60,20,false,cold,,0,,false,,"ENTIRELY SECONDARY — epicurious.com blocked; no figure confirmed against Bon Appetit or Epicurious themselves; the mirror states brown sugar as 100 g; the project factor gives 106.5, a 6.5 g discrepancy left unreconciled; the blogger notes her dish 'was a bit bigger' than 8x8, so her executed load differs from the published one",
crisp-smitten-apricot,crisp,Smitten Kitchen,Breakfast Apricot Crisp,https://smittenkitchen.com/2008/06/breakfast-apricot-crisp/,T1,direct,,,61.4,45,56.8,75,0.71,0,0,0,12,0,250.9,453.6,106.4,42.29,53.38,70.49,0,0.67,0,0,0,11.28,holds 2-3 cups,,,1.81,204,35,,false,melted,,0,,false,,"the ONLY source in the crisp corpus giving no pan dimensions at all — capacity only, so excluded from the load median; the only source where sugar is 100% white (turbinado); framed as a BREAKFAST dish, not a dessert, which may explain the low sugar and the smallest topping in the set","A distinct mixing order found nowhere else: butter, then sugar, then oats, then flour."
crisp-martha-stewart,crisp,Martha Stewart,Apple Crisp,https://zest4foodblog.wordpress.com/2019/10/08/martha-stewarts-apple-crisp/,T2,two-independent-reprints,,,93.8,90,113.6,78.3,2.85,0,0,0,0,0,378.5,1360.8,183.8,48.98,61.82,42.59,28.98,1.55,0,0,0,0,shallow 8x8 inch (one reprint says 2 quart),400,0.946,3.6,191,60,10,false,cold,,0,,false,,"marthastewart.com blocked — entirely reprint-sourced, and the two reprints DISAGREE on pan and bake time; the method text is a paraphrase of a paraphrase; see the Once Upon a Chef lineage flag: these two may be one recipe, not two",
crisp-atk-905-oatfree,crisp,America's Test Kitchen,Fruit Crisp (905),https://www.americastestkitchen.com/recipes/905-fruit-crisp,T1,direct,,,46.9,0,71,99.5,1.43,0,0,0,75,0,293.8,1247,46.9,0,151.47,212.27,105.6,3.04,0,0,0,160,8-inch square (2 quart),400,0.735,4.24,177,45,,false,cold,,0,nuts: Varies with nut and chop size; 100 g/cup is a rough middle.,true,"NO OATS — excluded from the oat-bearing medians, but it is ATK's own crisp and it states outright that the ideal crisp topping is nuts and flour. One of five canonical oat-free 'crisps'.",reverses ATK's own stage direction: bakes at 350F for 40 min then INCREASES to 400F for 5,
crisp-chez-panisse-pear,crisp,Chez Panisse / Alice Waters,Warren Pear and Huckleberry Crisp,https://www.froghollow.com/blogs/recipes/6791238-chez-panisses-warren-pear-and-huckleberry-crisp,T2,licensee-reproduction,,,166.7,0,86.5,25,0,0,0,0,79.2,0,357.3,1330,166.7,0,51.88,15,0,0,0,0,0,47.5,10 x 8 in gratin dish,516,0.692,3.72,204,,,false,cold,,0,,true,"NO OATS. Sugar at 17.5 per 100 flour is less than half the lowest oat-bearing crisp (Dorie, 36.4) — a strikingly lean, nut-driven topping from the restaurant most associated with the American fruit-dessert revival.",,
